INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I162000007,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,B3,426,12/31/15 23:25,2015,12,Thursday,23,Part Three,BLUE HILL AVE,42.26985916,-71.09346353,"(42.26985916, -71.09346353)"
I162000007,2905,Violations,VAL - OPERATING WITHOUT LICENSE,B3,426,12/31/15 23:25,2015,12,Thursday,23,Part Two,BLUE HILL AVE,42.26985916,-71.09346353,"(42.26985916, -71.09346353)"
I152107870,3115,Investigate Person,INVESTIGATE PERSON,B3,448,12/31/15 22:55,2015,12,Thursday,22,Part Three,MILLET ST,42.29368748,-71.07692422,"(42.29368748, -71.07692422)"
I152107856,3301,Verbal Disputes,VERBAL DISPUTE,B3,439,12/31/15 22:29,2015,12,Thursday,22,Part Three,BERNARD ST,42.29127678,-71.07920676,"(42.29127678, -71.07920676)"
I162000002,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,434,12/31/15 22:23,2015,12,Thursday,22,Part Three,THETFORD AVE,42.28465991,-71.07839997,"(42.28465991, -71.07839997)"
I152107871,2914,Violations,VAL - OPERATING W/O AUTHORIZATION LAWFUL,B3,457,12/31/15 22:09,2015,12,Thursday,22,Part Two,BLUE HILL AVE,42.30127592,-71.08574118,"(42.30127592, -71.08574118)"
I152107871,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,B3,457,12/31/15 22:09,2015,12,Thursday,22,Part Three,BLUE HILL AVE,42.30127592,-71.08574118,"(42.30127592, -71.08574118)"
I152107875,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY Â DAMAGE,B3,468,12/31/15 21:33,2015,12,Thursday,21,Part Three,ORMOND ST,42.27983743,-71.09361104,"(42.27983743, -71.09361104)"
I152107835,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,469,12/31/15 20:57,2015,12,Thursday,20,Part Two,TENNIS RD,42.27615691,-71.09550303,"(42.27615691, -71.09550303)"
I152107822,3115,Investigate Person,INVESTIGATE PERSON,B3,410,12/31/15 20:33,2015,12,Thursday,20,Part Three,OLD MORTON ST,42.27430113,-71.07196905,"(42.27430113, -71.07196905)"
I152107826,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,B3,426,12/31/15 20:21,2015,12,Thursday,20,Part Three,BLUE HILL AVE,42.26909851,-71.09361458,"(42.26909851, -71.09361458)"
I152107820,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,B3,466,12/31/15 19:38,2015,12,Thursday,19,Part Two,HARVARD ST,42.28594271,-71.09618534,"(42.28594271, -71.09618534)"
I162000014,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B3,476,12/31/15 18:20,2015,12,Thursday,18,Part One,REXFORD ST,42.26984836,-71.09532394,"(42.26984836, -71.09532394)"
I152107800,3830,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PERSONAL INJURY,B3,463,12/31/15 18:19,2015,12,Thursday,18,Part Three,BLUE HILL AVE,42.29444321,-71.08821398,"(42.29444321, -71.08821398)"
I162000604,3502,Missing Person Located,MISSING PERSON - LOCATED,B3,446,12/31/15 17:30,2015,12,Thursday,17,Part Three,ATHELWOLD ST,42.29603943,-71.07717023,"(42.29603943, -71.07717023)"
I162000604,3501,Missing Person Reported,MISSING PERSON,B3,446,12/31/15 17:30,2015,12,Thursday,17,Part Three,ATHELWOLD ST,42.29603943,-71.07717023,"(42.29603943, -71.07717023)"
I152107777,3114,Investigate Property,INVESTIGATE PROPERTY,B3,444,12/31/15 17:05,2015,12,Thursday,17,Part Three,BRADSHAW ST,42.2986734,-71.08293869,"(42.29867340, -71.08293869)"
I152107773,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,444,12/31/15 16:05,2015,12,Thursday,16,Part Three,BLUE HILL AVE,42.29792661,-71.08689609,"(42.29792661, -71.08689609)"
I152107767,3114,Investigate Property,INVESTIGATE PROPERTY,B3,463,12/31/15 15:42,2015,12,Thursday,15,Part Three,WILBERT RD,42.29406247,-71.09004553,"(42.29406247, -71.09004553)"
I152107766,3007,Medical Assistance,SUDDEN DEATH,B3,432,12/31/15 15:21,2015,12,Thursday,15,Part Three,WOODROW AVE,42.28712049,-71.08421139,"(42.28712049, -71.08421139)"
I162017163,3125,Warrant Arrests,WARRANT ARREST,B3,435,12/31/15 15:00,2015,12,Thursday,15,Part Three,WENTWORTH TER,42.28649435,-71.07406771,"(42.28649435, -71.07406771)"
I152107740,2647,Other,THREATS TO DO BODILY HARM,B3,430,12/31/15 14:42,2015,12,Thursday,14,Part Two,BLUE HILL AVE,42.28489215,-71.09111291,"(42.28489215, -71.09111291)"
I152107739,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,444,12/31/15 14:07,2015,12,Thursday,14,Part Three,VESTA RD,42.2960628,-71.08664795,"(42.29606280, -71.08664795)"
I152107742,2604,Other,EXTORTION OR BLACKMAIL,B3,441,12/31/15 13:33,2015,12,Thursday,13,Part Two,HARVARD ST,42.29629726,-71.08115283,"(42.29629726, -71.08115283)"
I162001503,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,B3,450,12/31/15 13:00,2015,12,Thursday,13,Part Two,WHITFIELD ST,42.2922213,-71.07467073,"(42.29222130, -71.07467073)"
