INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I162106488,3114,Investigate Property,INVESTIGATE PROPERTY,B3,922,12/31/16 22:21,2016,12,Saturday,22,Part Three,DR. MARY MOORE BEATTY CIR,42.27308641,-71.080129,"(42.27308641, -71.08012900)"
I162106481,3115,Investigate Person,INVESTIGATE PERSON,B3,426,12/31/16 21:34,2016,12,Saturday,21,Part Three,RIVER ST,42.26956689,-71.09075049,"(42.26956689, -71.09075049)"
I162106463,3301,Verbal Disputes,VERBAL DISPUTE,B3,427,12/31/16 21:32,2016,12,Saturday,21,Part Three,FESSENDEN ST,42.27855984,-71.09199697,"(42.27855984, -71.09199697)"
I162106461,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,411,12/31/16 21:18,2016,12,Saturday,21,Part Three,FREELAND ST,42.27442169,-71.07888867,"(42.27442169, -71.07888867)"
I162106431,3301,Verbal Disputes,VERBAL DISPUTE,B3,466,12/31/16 19:32,2016,12,Saturday,19,Part Three,ORMOND ST,42.28295116,-71.09377542,"(42.28295116, -71.09377542)"
I162106421,3114,Investigate Property,INVESTIGATE PROPERTY,B3,463,12/31/16 18:37,2016,12,Saturday,18,Part Three,AMERICAN LEGION HWY,42.29520338,-71.0927164,"(42.29520338, -71.09271640)"
I162106408,3115,Investigate Person,INVESTIGATE PERSON,B3,465,12/31/16 18:21,2016,12,Saturday,18,Part Three,BLUE HILL AVE,42.28482577,-71.09137369,"(42.28482577, -71.09137369)"
I162106438,3007,Medical Assistance,SUDDEN DEATH,B3,565,12/31/16 17:38,2016,12,Saturday,17,Part Three,SENATOR BOLLING CIR,42.28913147,-71.09293028,"(42.28913147, -71.09293028)"
I162106396,3001,Medical Assistance,DEATH INVESTIGATION,B3,470,12/31/16 17:08,2016,12,Saturday,17,Part Three,ORLANDO ST,42.27544327,-71.09817294,"(42.27544327, -71.09817294)"
I162106386,617,Larceny,LARCENY THEFT FROM BUILDING,B3,435,12/31/16 15:45,2016,12,Saturday,15,Part One,NORFOLK ST,42.28785272,-71.07803392,"(42.28785272, -71.07803392)"
I162106339,3115,Investigate Person,INVESTIGATE PERSON,B3, ,12/31/16 13:11,2016,12,Saturday,13,Part Three,,42.28423939,-71.09136394,"(42.28423939, -71.09136394)"
I162106342,3115,Investigate Person,INVESTIGATE PERSON,B3,476,12/31/16 12:37,2016,12,Saturday,12,Part Three,BLUE HILL AVE,42.26817397,-71.09387677,"(42.26817397, -71.09387677)"
I162106282,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,416,12/31/16 7:34,2016,12,Saturday,7,Part Three,FULLER ST,42.28154388,-71.07350542,"(42.28154388, -71.07350542)"
I162106241,3001,Medical Assistance,DEATH INVESTIGATION,B3,503,12/31/16 2:08,2016,12,Saturday,2,Part Three,AMERICAN LEGION HWY,42.28765094,-71.10666744,"(42.28765094, -71.10666744)"
I162106420,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,B3,465,12/30/16 23:45,2016,12,Friday,23,Part Three,BLUE HILL AVE,42.28482577,-71.09137369,"(42.28482577, -71.09137369)"
I162106220,301,Robbery,ROBBERY - STREET,B3,456,12/30/16 23:30,2016,12,Friday,23,Part One,HARLEM ST,42.30021684,-71.0809794,"(42.30021684, -71.08097940)"
I162106221,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY Â DAMAGE,B3,429,12/30/16 22:12,2016,12,Friday,22,Part Three,HANNON ST,42.28260196,-71.08546505,"(42.28260196, -71.08546505)"
